model,n_r,n_m,iterations_min,iterations_max,iterations_mean,time_min_sec,time_max_sec,time_mean_sec,mining_asteroids_min,mining_asteroids_max,mining_asteroids_mean,trivial_problems,non_converged_problems,mip_gap_final_min,mip_gap_final_max,mip_gap_final_mean,notes
paper,1,4,,,,,,,,,,,,,,,
paper,1,6,,,,,,,,,,,,,,,
paper,1,8,,,,,,,,,,,,,,,
paper,1,10,,,,,,,,,,,,,,,
paper,2,4,,,,,,,,,,,,,,,
paper,2,6,,,,,,,,,,,,,,,
paper,2,8,,,,,,,,,,,,,,,
paper,2,10,,,,,,,,,,,,,,,
paper,3,4,,,,,,,,,,,,,,,
paper,3,6,,,,,,,,,,,,,,,
paper,3,8,,,,,,,,,,,,,,,
paper,3,10,,,,,,,,,,,,,,,
our_model,1,4,,,,,,,,,,,,,,,
our_model,1,6,,,,,,,,,,,,,,,
our_model,1,8,,,,,,,,,,,,,,,
our_model,1,10,,,,,,,,,,,,,,,
our_model,2,4,,,,,,,,,,,,,,,
our_model,2,6,,,,,,,,,,,,,,,
our_model,2,8,,,,,,,,,,,,,,,
our_model,2,10,,,,,,,,,,,,,,,
our_model,3,4,,,,,,,,,,,,,,,
our_model,3,6,,,,,,,,,,,,,,,
our_model,3,8,,,,,,,,,,,,,,,
our_model,3,10,,,,,,,,,,,,,,,
